NEGOCIACION_ID,CLIENTE_ID,FECHA,OFERTA,ACEPTO,CONTEXTO_NEGOCIACION
1,1001,2026-01-21,12 cuotas,SI,El cliente perdió su empleo y espera estabilizarse el próximo mes.
2,1002,2026-03-11,6 cuotas,SI,Prefiere comunicarse únicamente por correo electrónico.
3,1003,2026-03-02,6 cuotas,SI,Tiene intención de pagar cuando reciba un ingreso pendiente.
4,1004,2026-03-14,12 cuotas,SI,Solicita cuotas bajas por dificultades económicas.
5,1005,2026-03-03,6 cuotas,SI,Tiene intención de pagar cuando reciba un ingreso pendiente.
6,1006,2026-04-18,Refinanciación,SI,Está priorizando el pago del crédito hipotecario.
7,1007,2026-01-26,Refinanciación,SI,No presenta observaciones relevantes.
8,1008,2026-05-03,6 cuotas,NO,No presenta observaciones relevantes.
9,1009,2026-03-14,12 cuotas,NO,Está priorizando el pago del crédito hipotecario.
10,1010,2026-01-10,12 cuotas,NO,Está priorizando el pago del crédito hipotecario.
11,1011,2026-01-28,12 cuotas,SI,Está priorizando el pago del crédito hipotecario.
12,1012,2026-06-13,6 cuotas,SI,Está priorizando el pago del crédito hipotecario.
13,1013,2026-02-14,Pago único,SI,Está priorizando el pago del crédito hipotecario.
14,1014,2026-05-12,Refinanciación,SI,Prefiere comunicarse únicamente por correo electrónico.
15,1015,2026-01-02,6 cuotas,NO,El cliente perdió su empleo y espera estabilizarse el próximo mes.
16,1016,2026-05-20,12 cuotas,SI,Prefiere comunicarse únicamente por correo electrónico.
17,1017,2026-03-10,6 cuotas,SI,El cliente perdió su empleo y espera estabilizarse el próximo mes.
18,1018,2026-01-13,Refinanciación,SI,Indica que recibirá una prima el próximo mes.
19,1019,2026-02-27,Pago único,NO,Indica que recibirá una prima el próximo mes.
20,1020,2026-01-20,Refinanciación,SI,No presenta observaciones relevantes.
21,1021,2026-05-23,6 cuotas,SI,Solicita cuotas bajas por dificultades económicas.
22,1022,2026-04-20,6 cuotas,NO,Prefiere comunicarse únicamente por correo electrónico.
23,1023,2026-05-07,Pago único,NO,Solicita cuotas bajas por dificultades económicas.
24,1024,2026-02-13,12 cuotas,SI,Prefiere comunicarse únicamente por correo electrónico.
25,1025,2026-02-24,6 cuotas,SI,Solicita cuotas bajas por dificultades económicas.
26,1026,2026-06-02,12 cuotas,SI,Está priorizando el pago del crédito hipotecario.
27,1027,2026-05-15,12 cuotas,NO,Indica que recibirá una prima el próximo mes.
28,1028,2026-05-08,Refinanciación,NO,No presenta observaciones relevantes.
29,1029,2026-03-15,Refinanciación,SI,El cliente perdió su empleo y espera estabilizarse el próximo mes.
30,1030,2026-01-20,Refinanciación,NO,Prefiere comunicarse únicamente por correo electrónico.
31,1031,2026-04-25,Refinanciación,SI,Tiene intención de pagar cuando reciba un ingreso pendiente.
32,1032,2026-04-13,Pago único,SI,Prefiere comunicarse únicamente por correo electrónico.
33,1033,2026-03-14,12 cuotas,SI,Tiene intención de pagar cuando reciba un ingreso pendiente.
34,1034,2026-04-17,Pago único,SI,No presenta observaciones relevantes.
35,1035,2026-02-03,12 cuotas,SI,El cliente perdió su empleo y espera estabilizarse el próximo mes.
36,1036,2026-05-13,6 cuotas,SI,Tiene intención de pagar cuando reciba un ingreso pendiente.
37,1037,2026-01-20,Pago único,SI,Prefiere comunicarse únicamente por correo electrónico.
38,1038,2026-04-10,6 cuotas,SI,El cliente perdió su empleo y espera estabilizarse el próximo mes.
39,1039,2026-03-20,12 cuotas,SI,Indica que recibirá una prima el próximo mes.
40,1040,2026-05-09,Refinanciación,SI,Indica que recibirá una prima el próximo mes.
41,1041,2026-05-16,6 cuotas,NO,Solicita cuotas bajas por dificultades económicas.
42,1042,2026-05-08,12 cuotas,NO,El cliente perdió su empleo y espera estabilizarse el próximo mes.
43,1043,2026-02-06,Refinanciación,SI,No presenta observaciones relevantes.
44,1044,2026-03-22,12 cuotas,NO,Prefiere comunicarse únicamente por correo electrónico.
45,1045,2026-03-04,Pago único,NO,Tiene intención de pagar cuando reciba un ingreso pendiente.
46,1046,2026-04-18,Pago único,NO,Solicita cuotas bajas por dificultades económicas.
47,1047,2026-06-28,Refinanciación,NO,Indica que recibirá una prima el próximo mes.
48,1048,2026-04-12,6 cuotas,NO,Indica que recibirá una prima el próximo mes.
49,1049,2026-01-15,6 cuotas,SI,Solicita cuotas bajas por dificultades económicas.
50,1050,2026-06-02,12 cuotas,NO,Indica que recibirá una prima el próximo mes.
